layer_index,base_mm,top_mm,thickness_mm,biomass,eps,sediment_mm,sediment_fraction,age_steps,burial_step
0.000000,0.000000,1.656267,1.656267,0.000000,3.779242,0.597873,0.136591,2200.000000,302.000000
1.000000,1.656267,3.457483,1.801216,0.000000,3.959548,0.700344,0.150292,1898.000000,657.000000
2.000000,3.457483,5.168861,1.711378,0.000000,3.427935,0.701049,0.169787,1543.000000,1003.000000
3.000000,5.168861,6.102699,0.933838,0.000000,0.215647,0.551019,0.718722,1197.000000,1233.000000
4.000000,6.102699,6.622733,0.520034,0.000000,0.331272,0.113137,0.254579,967.000000,1298.000000
5.000000,6.622733,7.668436,1.045703,0.000000,0.618639,0.583504,0.485386,902.000000,1473.000000
6.000000,7.668436,8.782353,1.113917,0.000000,1.538174,0.465426,0.232295,727.000000,1701.000000
7.000000,8.782353,9.886820,1.104466,0.000132,0.303855,0.700866,0.697482,499.000000,1942.000000
8.000000,9.886820,11.495872,1.609053,0.592260,3.843035,0.525369,0.105907,258.000000,2141.000000
9.000000,11.495872,11.926566,0.430694,0.083619,0.060868,0.078726,0.352693,59.000000,-1.000000
